easting,northing,depth
356631.1434,5714601.6220,0.903059439
356631.0760,5714601.6700,0.904069658
356631.0077,5714601.7190,0.906300249
356630.9409,5714601.7660,0.909230413
356630.8711,5714601.8160,0.912360422
356630.8001,5714601.8660,0.915927303
356630.6424,5714602.0370,0.919521254
356630.5505,5714602.1640,0.922501461
356630.4595,5714602.2890,0.924069023
356630.3673,5714602.4170,0.924274292
356630.3179,5714602.4850,0.922937362
356630.2683,5714602.5530,0.919143857
356630.2198,5714602.6200,0.914517104
356630.1702,5714602.6880,0.910584785
356630.1217,5714602.7550,0.908061031
356630.0733,5714602.8220,0.906694156
356630.0239,5714602.8900,0.906977028
356629.9742,5714602.9590,0.909432239
356629.9247,5714603.0270,0.91347854
356629.8751,5714603.0950,0.918176258
356629.8196,5714603.1720,0.923711144
356629.7237,5714603.3040,0.929725091
356629.6341,5714603.4710,0.935236972
356629.5918,5714603.5720,0.93982442
356629.5489,5714603.6740,0.943932497
356629.5065,5714603.7750,0.947357966
356629.4840,5714603.8290,0.948612599
356629.4378,5714603.9390,0.94761157
356629.4152,5714603.9930,0.945871334
356629.3884,5714604.0570,0.944124837
356629.3428,5714604.1660,0.942639326
356629.3197,5714604.2210,0.942192241
356629.2966,5714604.2760,0.943468677
356629.2735,5714604.3320,0.946091215
356629.2505,5714604.3870,0.948385222
356629.2265,5714604.4440,0.950138339
356629.1805,5714604.5630,0.951396327
356629.1571,5714604.6280,0.951369313
356629.1336,5714604.6940,0.949605164
356629.1105,5714604.7590,0.946792543
356629.0979,5714604.7940,0.94407757
356629.0852,5714604.8300,0.94116549
356629.0727,5714604.8650,0.9375113
356629.0606,5714604.8990,0.933591149
356629.0353,5714604.9690,0.92999955
356629.0228,5714605.0050,0.926472999
356629.0104,5714605.0390,0.922706688
356628.9957,5714605.0800,0.91912607
356628.9829,5714605.1160,0.916159395
356628.9223,5714605.2340,0.913201798
356628.8845,5714605.2880,0.909373432
356628.8470,5714605.3410,0.904792367
356628.8090,5714605.3950,0.900358763
356628.7891,5714605.4230,0.896731599
356628.7691,5714605.4520,0.893625365
356628.7487,5714605.4800,0.891317929
356628.7283,5714605.5100,0.89022003
356628.7079,5714605.5390,0.89
356628.6842,5714605.5720,0.89
356628.6638,5714605.6010,0.889850939
356628.6434,5714605.6300,0.88934677
356628.6234,5714605.6580,0.888884972
356628.6030,5714605.6870,0.888704546
356628.5826,5714605.7160,0.888688742
356628.5610,5714605.7470,0.888524234
356628.4769,5714605.8210,0.888140823
356628.4151,5714605.8640,0.887830797
356628.3809,5714605.8880,0.887157471
356628.3147,5714605.9340,0.885805907
356628.2493,5714605.9800,0.883997102
356628.2137,5714606.0050,0.882012461
356628.1722,5714606.0340,0.880452207
356628.1364,5714606.0590,0.879509523
356628.1007,5714606.0840,0.879105453
356628.0659,5714606.1080,0.879753778
356628.0310,5714606.1330,0.881219257
356627.9952,5714606.1580,0.883121124
356627.9596,5714606.1830,0.885315238
356627.9239,5714606.2080,0.888500554
356627.8884,5714606.2330,0.893453151
356627.8506,5714606.2590,0.899636008
356627.7014,5714606.3310,0.906004681
356627.5863,5714606.3780,0.912834848
356627.4698,5714606.4270,0.920551968
356627.3533,5714606.4750,0.927674029
356627.2924,5714606.5000,0.933773039
356627.2300,5714606.5260,0.939245706
356627.1672,5714606.5520,0.94517203
356627.1056,5714606.5770,0.951667549
356627.0431,5714606.6030,0.958608601
356626.9715,5714606.6330,0.9658545
356626.9089,5714606.6590,0.97306307
356626.8460,5714606.6850,0.979776293
356626.7833,5714606.7110,0.98545195
356626.7207,5714606.7370,0.988712786
356626.6580,5714606.7630,0.988798464
356626.5915,5714606.7900,0.986013857
356626.3539,5714606.8530,0.98099747
356626.1721,5714606.8910,0.974124401
356625.9918,5714606.9290,0.965131269
356625.8100,5714606.9670,0.955999749
356625.6323,5714607.0050,0.948200781
356625.5344,5714607.0250,0.942389412
356625.4386,5714607.0450,0.938542886
356625.3246,5714607.0690,0.935799531
356625.2264,5714607.0900,0.933097799
356625.1281,5714607.1100,0.930212387
356625.0302,5714607.1310,0.927407945
356624.9342,5714607.1510,0.924530075
356624.8363,5714607.1710,0.920734575
356624.7245,5714607.1950,0.916376508
356624.6244,5714607.2160,0.912507422
356624.3011,5714607.2590,0.90999603
356624.1587,5714607.2640,0.90816209
356624.0126,5714607.2690,0.906682925
356623.8699,5714607.2740,0.906431582
356623.7926,5714607.2760,0.907700692
356623.7165,5714607.2790,0.908898655
356623.6390,5714607.2820,0.908825339
356623.5630,5714607.2840,0.907557663
356623.4855,5714607.2870,0.905858596
356623.3967,5714607.2900,0.904353531
356623.2412,5714607.2950,0.903562498
356623.1634,5714607.2980,0.903779961
356623.0846,5714607.3000,0.905448498
356623.0035,5714607.3030,0.908559907
356622.7681,5714607.2840,0.912722229
356622.6716,5714607.2710,0.917266655
356622.5852,5714607.2590,0.921179753
356622.4995,5714607.2470,0.92349026
356622.4134,5714607.2350,0.924300337
356622.3292,5714607.2230,0.923499487
356622.2430,5714607.2110,0.921356465
356622.1448,5714607.1970,0.917824097
356622.0587,5714607.1850,0.913036216
356621.9728,5714607.1730,0.907703809
356621.8617,5714607.1580,0.90255873
356621.7041,5714607.1360,0.897475133
356621.6182,5714607.1240,0.892518757
356621.5181,5714607.1100,0.888107855
356621.4318,5714607.0980,0.885367584
356621.3437,5714607.0860,0.884407039
356621.2545,5714607.0740,0.883463968
356621.1667,5714607.0620,0.881870535
356620.9054,5714606.9910,0.880216746
356620.7952,5714606.9540,0.878190788
356620.6986,5714606.9220,0.874813989
356620.6018,5714606.8890,0.869584336
356620.5054,5714606.8570,0.863267012
356620.3954,5714606.8200,0.856605548
356620.2985,5714606.7880,0.849725939
356620.2043,5714606.7560,0.842225096
356620.1075,5714606.7230,0.834363259
356620.0113,5714606.6910,0.826962966
356619.9148,5714606.6590,0.820617562
356619.8180,5714606.6260,0.816324584
356619.7234,5714606.5950,0.814186319
356619.6134,5714606.5580,0.813406089
356619.5014,5714606.5200,0.813971409
356619.4048,5714606.4880,0.816183063
356619.3078,5714606.4550,0.819536024
356619.2075,5714606.4220,0.822712002
356619.1071,5714606.3880,0.823966354
356618.8964,5714606.2950,0.82359026
356618.7756,5714606.2300,0.822267907
356618.6561,5714606.1670,0.820129211
356618.5354,5714606.1020,0.817064793
356618.4066,5714606.0340,0.814220727
356618.3417,5714605.9990,0.812956635
356618.2766,5714605.9640,0.81347361
356618.2114,5714605.9300,0.815025311
356618.1464,5714605.8950,0.81698453
356618.0814,5714605.8600,0.818797301
356618.0178,5714605.8260,0.820404579
356617.9542,5714605.7920,0.821994778
356617.8893,5714605.7580,0.82317065
356617.8215,5714605.7220,0.82356889
356617.7524,5714605.6850,0.823604742
356617.5341,5714605.5350,0.824296844
356617.3721,5714605.4130,0.82520958
356617.2121,5714605.2920,0.82519652
356617.0508,5714605.1710,0.824267132
356616.9635,5714605.1050,0.823427114
356616.8782,5714605.0410,0.822752316
356616.7913,5714604.9760,0.821115085
356616.7039,5714604.9100,0.818513945
356616.6169,5714604.8450,0.81585527
356616.5332,5714604.7820,0.813167014
356616.4463,5714604.7160,0.810341896
356616.3468,5714604.6420,0.808262356
356616.2595,5714604.5760,0.807768684
356616.1706,5714604.5090,0.809600777
356616.0062,5714604.3850,0.813411882
356615.8028,5714604.2040,0.818645249
356615.6815,5714604.0850,0.824706149
356615.5601,5714603.9660,0.830534939
356615.4374,5714603.8450,0.835341469
356615.3712,5714603.7800,0.838343332
356615.3077,5714603.7180,0.838781012
356615.2416,5714603.6530,0.837320337
356615.1755,5714603.5880,0.834497203
356615.1095,5714603.5230,0.830273403
356615.0449,5714603.4600,0.824503118
356614.9679,5714603.3840,0.817484979
356614.9031,5714603.3200,0.809948505
356614.8370,5714603.2560,0.802309327
356614.7710,5714603.1910,0.794403744
356614.7009,5714603.1220,0.785560184
356614.6348,5714603.0570,0.776007328
